PC1,PC2,Cluster
1.4612638025241573,1.4844792146630152,1
1.7848538872265873,1.7131016349875625,1
1.8661011685361586,1.6893874363587362,1
1.0820849602353804,1.6036059581799222,1
0.8138139211301038,1.268918858621804,1
0.21006525416761967,1.0425879640357982,1
0.3997251422560598,0.7707484221558566,1
0.633127259838095,0.6523028565173888,1
1.0389117644247663,0.4558844919334346,1
1.3635675476237465,0.35256054773239165,1
1.6136102883312176,-0.07249534047785028,1
2.303543459255321,-0.39920821324720474,1
2.8232285639775783,-0.8200765245959956,1
3.1302418236027756,-0.9710457470835007,2
3.573637086981199,-1.0316093897235812,2
3.880208872607325,-1.0637296230102486,2
4.700367853247265,-1.0547024342243936,2
4.8938901290399155,-1.1185667587733132,2
5.468608338309887,-1.1570404672221912,2
5.3505040353949385,-1.162592555530665,2
5.226639997050011,-1.0632540790127099,2
4.914826987083102,1.3090494567532007,2
4.798387891238859,1.4026382965288946,2
4.446204477457039,1.4554006889949964,2
4.150380093964603,1.4885868392295898,2
3.2098993887528215,1.3452294443681279,2
2.400539879882842,1.2629217747677974,1
2.148810458268253,1.0967974387879342,1
2.338124851434946,1.073390881409596,1
3.0063791768420267,0.9248857464425974,1
2.6486078985135872,0.7792646826610651,1
2.9370639706075803,0.4854595407575304,1
2.8015660302015197,0.1316558860601056,1
3.355791543301492,-0.15024507726659306,2
3.692658453412064,-0.39708631511623504,2
4.041372753200123,-0.5634838340782871,2
4.6148555342876625,-0.6795690432400504,2
4.842862661050495,-0.8712253618955668,2
5.40812990241337,-1.1610508780461553,2
5.8021730986818625,-1.2745302298689636,2
6.317822868246063,-1.3682650503718534,2
6.457788605446746,-1.2270165406234557,2
6.683056016672145,-1.223059688598552,2
7.107354791571525,-1.001165599836987,2
7.940336673793896,-0.930429815030784,2
8.564294210786326,1.4697824335417644,2
8.239819625215112,1.4684886415320213,2
7.6420347782975755,1.4144587207635002,2
6.317280028850465,1.309074213543209,2
5.7648012281452505,1.2272856589937695,2
5.575085022377465,1.1786561995997975,2
5.519345681578992,1.1710143741902004,2
5.406230607841011,1.0788152753430436,2
4.832921205894468,0.8153191054658062,2
4.918762839865133,0.4564761676867647,2
4.909025045548061,0.07211598538717562,2
5.453398415522662,-0.2109474885503542,2
5.3887579622786435,-0.36189090846752164,2
5.475027098462491,-0.578760666268687,2
4.974353531186709,-0.809107117647667,2
4.385849559817308,-1.204794726095174,2
3.8897142014469024,-1.5534672417744912,2
3.3667477146832407,-1.8091652145961354,1
2.733330590123928,-1.9130866934638129,1
2.5548933691878517,-1.83172946208568,1
2.6948137879346854,-1.6888306095339707,1
2.881222516896449,-1.6152642284898437,1
2.356989178085702,-1.573217531642088,1
2.03569190392611,-1.3918624349791142,1
3.054891884414425,1.1245255960089613,1
3.93111158092791,1.4869858077640457,2
4.00146195503583,1.747372149342377,2
3.7620144989840547,1.836883591710588,2
3.4265194431814474,1.8181084552862965,2
3.77973592452734,1.764867895294692,2
4.204768182939884,1.4658631173145988,2
4.397269109178045,1.3995810343430637,2
4.2660249050260575,1.365378980173763,2
4.912198430843345,1.2236846762752576,2
5.692030620519597,0.827798904674395,2
6.37812921387731,0.3406615656200264,2
7.0618537347897465,-0.10332999120395467,2
6.825665916442058,-0.43989993362952334,2
6.6123353120423,-0.7935709721967183,2
6.164000672596946,-1.066691675236844,2
6.280832286564046,-1.4175988625945795,2
5.795402423711346,-1.6852343947595256,2
5.34557314638806,-1.8677906164664224,2
4.616886416603716,-1.9945922919291244,2
4.44037477824828,-2.1072002582085148,2
4.1911656128827595,-2.015030406099906,2
4.35077319981802,-1.8097889114629477,2
5.034146359809322,-1.5716347591828608,2
5.760609545441183,1.425680211862925,2
6.5319162296402355,1.6228473307977156,2
7.036204956221652,1.7814045500362823,2
7.5643670634689695,1.872566065657523,2
7.564376257891318,1.9944516454051382,2
7.1837021985133385,1.893145983294637,2
6.177982251159523,1.6562729460957548,2
5.665830063570267,1.4007635094523443,2
5.695924971375817,1.2778864040048692,2
6.703034779775121,1.1226595043907812,2
7.264018311901377,0.851341399360071,2
7.07126584299777,0.5127068687019493,2
6.509386992126446,-0.09070667297666976,2
6.158692705473802,-0.5637918484843756,2
6.284267474712376,-0.9898356636425771,2
6.059914951124475,-1.1295954145733729,2
5.776717597295119,-1.243953984505792,2
5.586436830719477,-1.1282528462835584,2
6.233621960599912,-1.3062346400988412,2
6.530787320495171,-1.459479392035343,2
6.89405404339428,-1.6369833762758663,2
6.855832176378597,-1.4932665469702557,2
7.585690238463575,-1.232544365844913,2
7.3602490505157725,-1.023367285961441,2
7.019222919164405,1.5150935096902947,2
6.640475678069004,1.5763563507641856,2
6.885220777245319,1.6880100546834877,2
7.121155334191432,1.6603461512206226,2
6.612295319399569,1.6869824476333806,2
6.296264253611708,1.585265075364617,2
6.803283003613202,1.686619208832321,2
7.853826712356841,1.5455788768866086,2
8.850468682023486,1.4897692544836931,2
9.955686346856238,1.2072238423177553,2
10.619845290292236,1.1082099629196531,2
11.099056150406978,0.7069513399598023,2
10.500005137127422,0.19735920480694594,2
10.278452390545995,-0.30029508417478507,2
10.591096626561173,-0.6325556421706053,2
11.427718956922755,-0.8140616108253079,2
11.730626855582654,-1.0321257893310145,2
10.939233716629504,-1.2792086850705173,2
9.928662829327267,-1.6305039624942772,2
8.931785725989883,-1.9495749778496985,2
7.892717340939111,-2.2690133081079082,2
6.430030049047969,-2.2870083550083606,2
5.014299817674956,-2.0979280372887126,2
4.732027254265561,-1.6388239055684592,2
5.76223178921821,1.0529226359880046,2
6.39744303509418,1.2541580520029214,2
6.986175667512237,1.4148253215539635,2
7.3818623001815435,1.5345682450646536,2
8.466279727847189,1.7863152955137058,2
9.096039462270882,1.8263552282654354,2
8.88855622885452,1.9533262977482289,2
8.89190274988268,1.8712651732446002,2
8.89343501727778,1.793121497372933,2
9.164394982021685,1.2997198779410362,2
8.24705304306288,0.7929819120158028,2
7.27551692162722,0.15728132857176708,2
6.66332171488869,-0.14911780849732956,2
6.309965494127618,-0.6190572834397713,2
5.630675285596764,-0.9357391934472659,2
4.603134926609109,-1.4128007442033494,2
3.6125724650171027,-1.6209122694782574,2
3.2381669332666263,-1.8069336922648518,1
2.7946345871364673,-1.9136857760278196,1
2.1740849306548022,-1.9888649635637639,1
1.3061687489826994,-1.9330695369833537,1
1.1545274899113536,-1.7428781862725775,1
1.3075969150870304,-1.5493291569967325,1
1.7462709795849263,-1.3181569684439276,1
1.6722933445736772,1.3756974874199186,1
2.8224452779756453,1.7382334929618053,1
3.96422314096451,2.0820795437891,2
5.261017698472403,2.277719130268447,2
6.016370225185113,2.296260869963483,2
6.362800340537453,2.2297703249080776,2
6.966720082012288,2.1765258971669836,2
6.9518708191576915,1.93567368209218,2
6.633934448461785,1.6410456935408884,2
5.949459098731135,1.2301901644706719,2
5.529030530731124,0.8441622469487493,2
5.947920588982399,0.42174535688188963,2
6.638155625295372,0.02428081698744071,2
7.01043923315799,-0.41678883427060515,2
6.316133926588039,-0.8162770959043214,2
5.372153903764168,-1.3193416502956188,2
4.300391447005394,-1.669717088047687,2
3.7825302708601622,-2.0546375534986283,2
2.2062229739373906,-2.1453773512421668,1
1.1958525753616436,-2.1517529096516688,1
0.2950580344022238,-2.0354168072814947,1
0.012717220874866165,-1.9246365664216294,1
0.464229553479659,-1.8167340149007345,1
0.9962171665182551,-1.6594322628234988,1
1.8269439232767968,1.126272403196449,1
2.2725765448721105,1.4838144580449777,1
2.343034157578836,1.731669855915361,1
2.0288226704170524,1.8566355165524506,1
1.659300574394042,1.8442190710788164,1
1.3121736165037716,1.8512673164046087,1
0.8680771498762634,1.7378125370347328,1
0.32085256472901036,1.5460353684231365,1
0.004322565800419243,1.3482377260755618,1
0.322343724469717,1.04547463577025,1
0.5594612939012443,0.7770316810296575,1
1.3253052589194387,0.416801752543214,1
1.3179484453129335,0.12016751965339631,1
1.716705875803185,-0.22390823625384787,1
1.796194373032677,-0.48041730439507735,1
1.617384631305614,-0.8160013321200635,1
1.9002612808583017,-1.0135043753394695,1
1.9169634713816437,-1.2549749206218508,1
2.4941952351240166,-1.263681946146961,1
3.1290993851306066,-1.3335295018912403,2
3.445240396566669,-1.306112606425485,2
3.416033140306663,-1.2732360591610348,2
3.334625133021702,-1.256974263227364,2
3.6163922243475954,-1.211466985563945,2
3.531980034050596,1.1531077794774391,2
3.3931496052726713,1.27664251921605,2
3.0314969243011283,1.473159754064742,2
3.5734588344143847,1.5282229712502398,2
3.9623335108788913,1.631764926128624,2
5.237090160636879,1.6355498695037292,2
6.447549078139962,1.6241330131820573,2
7.446666140640358,1.5766703433447689,2
7.561025230971593,1.3801556916195787,2
7.390149477579907,0.9709678138652045,2
7.367258105779512,0.5788456822167681,2
7.655287132545376,0.25055261535038675,2
7.678246664453888,-0.13513110583279817,2
7.546398425973159,-0.4491544576990863,2
7.157291411361292,-0.8454529057888633,2
7.5806222160010295,-1.1671602273425417,2
7.793955934117886,-1.620016961970072,2
7.5772090269434695,-1.8564334253187065,2
6.8435766455286675,-2.039323027773297,2
5.968447178192789,-2.0437164740392664,2
5.372619706495939,-2.079973703562583,2
4.640622807684329,-1.9790011083150618,2
4.223012663036833,-1.9407695309142412,2
3.676062266532745,-1.740992201662546,2
3.9094068185463655,0.8444243360901222,2
4.456277319429061,1.1261220686571214,2
5.57369048968638,1.3453368398772938,2
6.201077728783612,1.624572275496994,2
6.6284000328306325,1.7997409764211925,2
